Year,Median Household Income,Median Household Income Margin of Error,County,ID Geography,Slug County
2018,51261,808.0,Fresno County,05000US06019,fresno-county-ca
2018,47395,3209.0,Glenn County,05000US06021,glenn-county-ca
2018,45528,1359.0,Humboldt County,05000US06023,humboldt-county-ca
2018,45834,1861.0,Imperial County,05000US06025,imperial-county-ca
2018,52874,3230.0,Inyo County,05000US06027,inyo-county-ca
2018,52479,729.0,Kern County,05000US06029,kern-county-ca
2018,53865,2352.0,Kings County,05000US06031,kings-county-ca
2018,42475,2511.0,Lake County,05000US06033,lake-county-ca
2018,56362,1943.0,Lassen County,05000US06035,lassen-county-ca
2018,64251,247.0,Los Angeles County,05000US06037,los-angeles-county-ca
2018,52884,1923.0,Madera County,05000US06039,madera-county-ca
2018,110217,3332.0,Marin County,05000US06041,marin-county-ca
2018,51199,3487.0,Mariposa County,05000US06043,mariposa-county-ca
2018,49233,2356.0,Mendocino County,05000US06045,mendocino-county-ca
2018,50129,1671.0,Merced County,05000US06047,merced-county-ca
2018,45149,5555.0,Modoc County,05000US06049,modoc-county-ca
2018,63018,5826.0,Mono County,05000US06051,mono-county-ca
2018,66676,1234.0,Monterey County,05000US06053,monterey-county-ca
2018,84753,2198.0,Napa County,05000US06055,napa-county-ca
2018,63240,1916.0,Nevada County,05000US06057,nevada-county-ca
2018,85398,719.0,Orange County,05000US06059,orange-county-ca
2018,84357,1469.0,Placer County,05000US06061,placer-county-ca
2018,53270,3391.0,Plumas County,05000US06063,plumas-county-ca
2018,63948,454.00000000000006,Riverside County,05000US06065,riverside-county-ca
2018,63902,512.0,Sacramento County,05000US06067,sacramento-county-ca
2018,81977,4226.0,San Benito County,05000US06069,san-benito-county-ca
2018,60164,626.0,San Bernardino County,05000US06071,san-bernardino-county-ca
2018,74855,578.0,San Diego County,05000US06073,san-diego-county-ca
2018,104552,1533.0,San Francisco County,05000US06075,san-francisco-county-ca
2018,61145,1022.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2018,70699,1500.0,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2018,113776,1672.0,San Mateo County,05000US06081,san-mateo-county-ca
2018,71657,1476.0,Santa Barbara County,05000US06083,santa-barbara-county-ca
2018,116178,938.0,Santa Clara County,05000US06085,santa-clara-county-ca
2018,78041,1462.0,Santa Cruz County,05000US06087,santa-cruz-county-ca
2018,50905,1445.0,Shasta County,05000US06089,shasta-county-ca
2018,48125,7465.0,Sierra County,05000US06091,sierra-county-ca
2018,44200,2158.0,Siskiyou County,05000US06093,siskiyou-county-ca
2018,77609,1309.0,Solano County,05000US06095,solano-county-ca
2018,76753,1039.0,Sonoma County,05000US06097,sonoma-county-ca
2018,57387,1316.0,Stanislaus County,05000US06099,stanislaus-county-ca
2018,56955,2206.0,Sutter County,05000US06101,sutter-county-ca
2018,42899,2347.0,Tehama County,05000US06103,tehama-county-ca
2018,38497,4689.0,Trinity County,05000US06105,trinity-county-ca
2018,47518,1141.0,Tulare County,05000US06107,tulare-county-ca
2018,56493,3992.000000000001,Tuolumne County,05000US06109,tuolumne-county-ca
2018,84017,1199.0,Ventura County,05000US06111,ventura-county-ca
2018,65923,2023.0,Yolo County,05000US06113,yolo-county-ca
2018,52624,2827.0,Yuba County,05000US06115,yuba-county-ca
2017,85743,940.0,Alameda County,05000US06001,alameda-county-ca
2017,63438,4535.0,Alpine County,05000US06003,alpine-county-ca
2017,60636,2765.0,Amador County,05000US06005,amador-county-ca
2017,46516,1130.0,Butte County,05000US06007,butte-county-ca
2017,54800,3529.0,Calaveras County,05000US06009,calaveras-county-ca
2017,56481,4858.0,Colusa County,05000US06011,colusa-county-ca
2017,88456,822.0,Contra Costa County,05000US06013,contra-costa-county-ca
2017,41287,4114.0,Del Norte County,05000US06015,del-norte-county-ca
2017,74885,2565.0,El Dorado County,05000US06017,el-dorado-county-ca
2017,48730,655.0,Fresno County,05000US06019,fresno-county-ca
2017,46260,3402.0,Glenn County,05000US06021,glenn-county-ca
2017,43718,1579.0,Humboldt County,05000US06023,humboldt-county-ca
2017,44779,1850.0,Imperial County,05000US06025,imperial-county-ca
2017,51500,4578.0,Inyo County,05000US06027,inyo-county-ca
