County,Percent_of_Adults_with_Bachelors_or_Higher,Year,area_fips,Bachelor_Degree_Quartile
Los Angeles County,31.2,2017,6037,Upper Middle Education Percentage
Madera County,13.8,2017,6039,Low Education Percentage
Marin County,57.5,2017,6041,High Education Percentage
Mariposa County,24.4,2017,6043,Upper Middle Education Percentage
Mendocino County,24.8,2017,6045,Upper Middle Education Percentage
Merced County,13.8,2017,6047,Low Education Percentage
Modoc County,16.6,2017,6049,Low Education Percentage
Mono County,31.5,2017,6051,Upper Middle Education Percentage
Monterey County,23.9,2017,6053,Upper Middle Education Percentage
Napa County,34.6,2017,6055,High Education Percentage
Nevada County,35.8,2017,6057,High Education Percentage
Orange County,39.1,2017,6059,High Education Percentage
Placer County,37.5,2017,6061,High Education Percentage
Plumas County,22.6,2017,6063,Lower Middle Education Percentage
Riverside County,21.5,2017,6065,Lower Middle Education Percentage
Sacramento County,29.9,2017,6067,Upper Middle Education Percentage
San Benito County,19.2,2017,6069,Lower Middle Education Percentage
San Bernardino County,19.8,2017,6071,Lower Middle Education Percentage
San Diego County,37.4,2017,6073,High Education Percentage
San Francisco County,55.8,2017,6075,High Education Percentage
San Joaquin County,18.1,2017,6077,Lower Middle Education Percentage
San Luis Obispo County,34.0,2017,6079,Upper Middle Education Percentage
San Mateo County,48.5,2017,6081,High Education Percentage
Santa Barbara County,33.3,2017,6083,Upper Middle Education Percentage
Santa Clara County,50.0,2017,6085,High Education Percentage
Santa Cruz County,39.8,2017,6087,High Education Percentage
Shasta County,21.4,2017,6089,Lower Middle Education Percentage
Sierra County,21.4,2017,6091,Lower Middle Education Percentage
Siskiyou County,22.7,2017,6093,Lower Middle Education Percentage
Solano County,25.6,2017,6095,Upper Middle Education Percentage
Sonoma County,33.8,2017,6097,Upper Middle Education Percentage
Stanislaus County,16.7,2017,6099,Low Education Percentage
Sutter County,17.5,2017,6101,Low Education Percentage
Tehama County,14.4,2017,6103,Low Education Percentage
Trinity County,19.5,2017,6105,Lower Middle Education Percentage
Tulare County,13.8,2017,6107,Low Education Percentage
Tuolumne County,20.6,2017,6109,Lower Middle Education Percentage
Ventura County,32.6,2017,6111,Upper Middle Education Percentage
Yolo County,40.6,2017,6113,High Education Percentage
Yuba County,16.4,2017,6115,Low Education Percentage
Alameda County,43.9,2016,6001,High Education Percentage
Alpine County,29.7,2016,6003,Upper Middle Education Percentage
Amador County,21.5,2016,6005,Lower Middle Education Percentage
Butte County,26.1,2016,6007,Upper Middle Education Percentage
Calaveras County,20.2,2016,6009,Lower Middle Education Percentage
Colusa County,14.4,2016,6011,Low Education Percentage
Contra Costa County,40.3,2016,6013,High Education Percentage
Del Norte County,14.9,2016,6015,Low Education Percentage
El Dorado County,33.0,2016,6017,Upper Middle Education Percentage
Fresno County,19.7,2016,6019,Lower Middle Education Percentage
Glenn County,12.7,2016,6021,Low Education Percentage
Humboldt County,28.2,2016,6023,Upper Middle Education Percentage
Imperial County,14.0,2016,6025,Low Education Percentage
Inyo County,24.5,2016,6027,Upper Middle Education Percentage
Kern County,15.7,2016,6029,Low Education Percentage
Kings County,12.8,2016,6031,Low Education Percentage
Lake County,16.2,2016,6033,Low Education Percentage
Lassen County,12.5,2016,6035,Low Education Percentage
Los Angeles County,30.8,2016,6037,Upper Middle Education Percentage
Madera County,13.1,2016,6039,Low Education Percentage
Marin County,57.1,2016,6041,High Education Percentage
Mariposa County,22.6,2016,6043,Lower Middle Education Percentage
Mendocino County,24.1,2016,6045,Upper Middle Education Percentage
Merced County,13.7,2016,6047,Low Education Percentage
Modoc County,18.3,2016,6049,Lower Middle Education Percentage
Mono County,30.6,2016,6051,Upper Middle Education Percentage
Monterey County,23.6,2016,6053,Upper Middle Education Percentage
Napa County,33.0,2016,6055,Upper Middle Education Percentage
Nevada County,34.4,2016,6057,High Education Percentage
Orange County,38.4,2016,6059,High Education Percentage
Placer County,36.9,2016,6061,High Education Percentage
Plumas County,21.9,2016,6063,Lower Middle Education Percentage
Riverside County,21.2,2016,6065,Lower Middle Education Percentage
Sacramento County,29.3,2016,6067,Upper Middle Education Percentage
San Benito County,19.0,2016,6069,Lower Middle Education Percentage
San Bernardino County,19.3,2016,6071,Lower Middle Education Percentage
San Diego County,36.5,2016,6073,High Education Percentage
San Francisco County,54.8,2016,6075,High Education Percentage
San Joaquin County,18.2,2016,6077,Lower Middle Education Percentage
San Luis Obispo County,34.1,2016,6079,High Education Percentage
San Mateo County,47.1,2016,6081,High Education Percentage
Santa Barbara County,32.2,2016,6083,Upper Middle Education Percentage
Santa Clara County,49.1,2016,6085,High Education Percentage
Santa Cruz County,39.0,2016,6087,High Education Percentage
Shasta County,20.1,2016,6089,Lower Middle Education Percentage
Sierra County,19.8,2016,6091,Lower Middle Education Percentage
Siskiyou County,22.2,2016,6093,Lower Middle Education Percentage
Solano County,25.1,2016,6095,Upper Middle Education Percentage
Sonoma County,33.1,2016,6097,Upper Middle Education Percentage
Stanislaus County,16.5,2016,6099,Low Education Percentage
Sutter County,17.9,2016,6101,Low Education Percentage
