ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
3,"Native American",2023,"2023",88850,54613.00000000001,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
3,"Native American",2023,"2023",107219,23920,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
3,"Native American",2023,"2023",64348,21488,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
3,"Native American",2023,"2023",98481,7459,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
3,"Native American",2023,"2023",96168,10512,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
3,"Native American",2023,"2023",41892,15001.999999999998,"Shasta County, CA","05000US06089","shasta-county-ca"
3,"Native American",2023,"2023",50192,12140,"Siskiyou County, CA","05000US06093","siskiyou-county-ca"
3,"Native American",2023,"2023",101181,24683,"Solano County, CA","05000US06095","solano-county-ca"
3,"Native American",2023,"2023",85150,14840,"Sonoma County, CA","05000US06097","sonoma-county-ca"
3,"Native American",2023,"2023",74063,23072,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
3,"Native American",2023,"2023",72375,8307,"Sutter County, CA","05000US06101","sutter-county-ca"
3,"Native American",2023,"2023",56282,21976,"Tehama County, CA","05000US06103","tehama-county-ca"
3,"Native American",2023,"2023",59000,25593,"Trinity County, CA","05000US06105","trinity-county-ca"
3,"Native American",2023,"2023",69375,18327,"Tulare County, CA","05000US06107","tulare-county-ca"
3,"Native American",2023,"2023",61932,18128,"Tuolumne County, CA","05000US06109","tuolumne-county-ca"
3,"Native American",2023,"2023",88762,9118,"Ventura County, CA","05000US06111","ventura-county-ca"
3,"Native American",2023,"2023",63424,10820,"Yolo County, CA","05000US06113","yolo-county-ca"
3,"Native American",2023,"2023",76815,3766,"Yuba County, CA","05000US06115","yuba-county-ca"
4,"Asian",2023,"2023",165828,3502,"Alameda County, CA","05000US06001","alameda-county-ca"
4,"Asian",2023,"2023",68417,13917,"Butte County, CA","05000US06007","butte-county-ca"
4,"Asian",2023,"2023",102998,55420.00000000001,"Calaveras County, CA","05000US06009","calaveras-county-ca"
4,"Asian",2023,"2023",154727,3655,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
4,"Asian",2023,"2023",141987,14086,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
4,"Asian",2023,"2023",88247,5423,"Fresno County, CA","05000US06019","fresno-county-ca"
4,"Asian",2023,"2023",71583,55788,"Glenn County, CA","05000US06021","glenn-county-ca"
4,"Asian",2023,"2023",41214,18393,"Humboldt County, CA","05000US06023","humboldt-county-ca"
4,"Asian",2023,"2023",115034,10292,"Imperial County, CA","05000US06025","imperial-county-ca"
4,"Asian",2023,"2023",51827,41953,"Inyo County, CA","05000US06027","inyo-county-ca"
4,"Asian",2023,"2023",101199,9123,"Kern County, CA","05000US06029","kern-county-ca"
4,"Asian",2023,"2023",95217,9539,"Kings County, CA","05000US06031","kings-county-ca"
4,"Asian",2023,"2023",80938,31783,"Lassen County, CA","05000US06035","lassen-county-ca"
4,"Asian",2023,"2023",101777,946.0000000000001,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
4,"Asian",2023,"2023",85278,51645,"Madera County, CA","05000US06039","madera-county-ca"
4,"Asian",2023,"2023",158996,25367,"Marin County, CA","05000US06041","marin-county-ca"
4,"Asian",2023,"2023",43523,38492,"Mariposa County, CA","05000US06043","mariposa-county-ca"
4,"Asian",2023,"2023",73587,20763,"Mendocino County, CA","05000US06045","mendocino-county-ca"
4,"Asian",2023,"2023",82705,9215,"Merced County, CA","05000US06047","merced-county-ca"
4,"Asian",2023,"2023",109731,9929,"Monterey County, CA","05000US06053","monterey-county-ca"
4,"Asian",2023,"2023",138056,19317,"Napa County, CA","05000US06055","napa-county-ca"
4,"Asian",2023,"2023",99750,50671,"Nevada County, CA","05000US06057","nevada-county-ca"
4,"Asian",2023,"2023",118373,2596,"Orange County, CA","05000US06059","orange-county-ca"
4,"Asian",2023,"2023",146386,8819,"Placer County, CA","05000US06061","placer-county-ca"
4,"Asian",2023,"2023",90625,74616,"Plumas County, CA","05000US06063","plumas-county-ca"
4,"Asian",2023,"2023",114488,5130,"Riverside County, CA","05000US06065","riverside-county-ca"
4,"Asian",2023,"2023",97534,2470,"Sacramento County, CA","05000US06067","sacramento-county-ca"
4,"Asian",2023,"2023",210673,71801,"San Benito County, CA","05000US06069","san-benito-county-ca"
4,"Asian",2023,"2023",102102,3985,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
4,"Asian",2023,"2023",124415,2865,"San Diego County, CA","05000US06073","san-diego-county-ca"
